Municípios,Estimativas Populacionais - DEE\Total\2021,Idese\2021,PIB\Total\2021 (R$ mil),PIB\Impostos\2021 (R$ mil),PIB\Indústria\2021 (R$ mil),PIB\Agropecuária\2021 (R$ mil),PIB\Serviços\Total\2021,PIB per capita\2021 (R$),COREDE,Fronteira Argentina,Fronteira Uruguai,Fronteira Santa Catarina,Litorâneo
Barros Cassal,10.455,"0,6617","244.512,36","11.225,79","8.187,68","103.558,46","121.540,43","21.895,98",Alto da Serra do Botucaraí,Não,Não,Sim,Não
Benjamin Constant do Sul,2.203,"0,6770","49.312,82","1.470,96","2.755,62","19.516,48","25.569,76","25.630,36",Norte,Não,Não,Sim,Não
Bento Gonçalves,130.149,"0,8092","7.498.499,27","1.205.110,63","2.456.585,21","104.329,09","3.732.474,36","60.918,83",Serra,Não,Não,Não,Não
Boa Vista das Missões,2.089,"0,7968","238.520,99","11.202,74","5.543,55","159.796,87","61.977,83","114.288,93",Rio da Várzea,Não,Não,Sim,Não
Boa Vista do Buricá,7.331,"0,8133","326.885,21","33.411,68","41.300,42","82.079,43","170.093,68","48.701,61",Fronteira Noroeste,Não,Não,Sim,Não
Boa Vista do Cadeado,2.337,"0,8429","468.750,28","19.557,67","10.627,03","331.893,71","106.671,88","190.085,27",Alto Jacuí,Não,Não,Não,Não
Boa Vista do Incra,2.504,"0,8338","384.172,44","13.427,31","9.127,73","273.985,92","87.631,48","146.184,34",Alto Jacuí,Não,Não,Não,Não
Boa Vista do Sul,3.165,"0,7941","120.126,58","16.999,43","25.929,86","32.490,39","44.706,91","43.320,08",Serra,Não,Não,Não,Não
Bom Jesus,11.695,"0,7254","613.621,69","26.512,88","47.848,83","328.272,30","210.987,69","54.447,36",Campos de Cima da Serra,Não,Não,Não,Não
Bom Princípio,14.688,"0,7837","906.593,25","183.378,71","295.438,34","35.806,59","391.969,61","62.757,39",Vale do Caí,Não,Não,Não,Não
Bom Progresso,2.396,"0,7517","86.279,32","3.716,12","3.421,12","41.336,91","37.805,17","46.436,67",Celeiro,Não,Não,Não,Não
Bom Retiro do Sul,13.344,"0,7182","403.053,65","46.503,01","123.410,28","33.550,48","199.589,89","32.378,99",Vale do Taquari,Não,Não,Não,Não
Boqueirão do Leão,7.467,"0,7091","150.393,48","5.013,64","6.637,22","69.998,43","68.744,20","19.554,48",Vale do Rio Pardo,Não,Não,Não,Não
Bossoroca,6.250,"0,7854","490.597,08","23.445,35","11.968,25","312.723,61","142.459,88","79.966,92",Missões,Não,Não,Sim,Não
Bozano,2.313,"0,8427","227.409,11","15.836,19","6.094,18","130.939,64","74.539,09","108.341,64",Noroeste Colonial,Não,Não,Não,Não
Braga,3.725,"0,7030","130.947,53","7.219,69","3.709,03","61.984,89","58.033,92","40.032,87",Celeiro,Não,Não,Não,Não
Brochier,5.349,"0,7195","117.699,85","9.467,59","13.386,97","28.095,02","66.750,26","22.934,50",Vale do Caí,Não,Não,Não,Não
Butiá,20.842,"0,6884","543.346,83","34.196,00","89.501,21","128.895,26","290.754,36","25.919,33",Centro-Sul,Não,Não,Não,Não
Caçapava do Sul,34.460,"0,7112","1.122.666,76","81.897,68","195.153,75","257.113,56","588.501,77","33.536,47",Campanha,Não,Não,Não,Não
Cacequi,12.694,"0,7588","623.085,17","21.265,59","21.460,98","367.036,59","213.322,02","50.694,42",Vale do Jaguari,Não,Não,Não,Não
Cachoeira do Sul,84.861,"0,7357","3.542.693,26","318.601,35","478.213,53","972.403,91","1.773.474,47","43.440,91",Jacuí Centro,Não,Não,Não,Não
Cachoeirinha,136.683,"0,7439","6.458.475,92","1.239.039,75","1.448.295,28","976,78","3.770.164,11","48.874,53",Metropolitano Delta do Jacuí,Não,Não,Não,Não
Cacique Doble,5.087,"0,7328","169.234,68","5.607,10","7.002,75","89.382,59","67.242,25","33.294,25",Nordeste,Não,Não,Não,Não
Caibaté,5.018,"0,7601","264.915,16","16.225,26","11.317,52","128.979,55","108.392,83","55.167,67",Missões,Não,Não,Sim,Não
Caiçara,4.886,"0,7761","152.840,41","4.504,51","6.877,00","76.574,91","64.883,99","32.805,41",Médio Alto Uruguai,Não,Não,Não,Não
Camaquã,66.321,"0,7268","2.723.661,90","266.908,29","379.940,21","652.969,67","1.423.843,73","40.843,08",Centro-Sul,Não,Não,Não,Não
Camargo,2.989,"0,8465","520.481,43","64.090,91","239.339,86","92.101,53","124.949,13","189.265,97",Produção,Não,Não,Não,Não
Cambará do Sul,6.374,"0,7066","242.576,38","18.111,39","55.578,76","54.919,50","113.966,72","38.003,51",Hortênsias,Não,Não,Não,Não
Campestre da Serra,3.247,"0,7853","204.702,05","14.412,41","17.512,92","113.110,56","59.666,16","60.171,09",Campos de Cima da Serra,Não,Não,Não,Não
Campina das Missões,6.207,"0,7716","239.168,36","11.535,08","10.526,05","118.961,48","98.145,75","44.914,25",Fronteira Noroeste,Não,Não,Não,Não
Campinas do Sul,5.855,"0,8115","399.402,41","24.342,56","15.214,26","201.010,36","158.835,24","73.663,30",Norte,Não,Não,Não,Não
Campo Bom,66.930,"0,7569","3.600.067,72","689.173,19","1.385.782,76","2.915,06","1.522.196,70","51.443,50",Vale do Rio dos Sinos,Não,Não,Não,Não
