Municípios,Estimativas Populacionais - DEE\Total\2021,Idese\2021,PIB\Total\2021 (R$ mil),PIB\Impostos\2021 (R$ mil),PIB\Indústria\2021 (R$ mil),PIB\Agropecuária\2021 (R$ mil),PIB\Serviços\Total\2021,PIB per capita\2021 (R$),COREDE,Fronteira Argentina,Fronteira Uruguai,Fronteira Santa Catarina,Litorâneo
Frederico Westphalen,34.251,"0,7686","1.430.605,85","174.015,74","239.544,57","140.904,71","876.140,83","45.165,14",Médio Alto Uruguai,Não,Não,Sim,Não
Garibaldi,36.433,"0,8314","2.997.962,97","584.434,93","1.269.430,39","61.666,49","1.082.431,16","83.756,02",Serra,Não,Não,Não,Não
Garruchos,2.924,"0,7432","200.965,76","7.732,13","4.530,15","127.992,84","60.710,64","70.489,57",Missões,Sim,Não,Sim,Não
Gaurama,5.850,"0,7884","282.771,38","27.267,19","56.106,22","86.794,33","112.603,65","51.913,23",Norte,Não,Não,Não,Não
General Câmara,8.381,"0,7119","276.372,43","7.993,40","10.673,93","159.706,94","97.998,16","33.142,16",Vale do Rio Pardo,Não,Não,Não,Não
Gentil,1.938,"0,7764","190.647,27","14.180,38","4.869,44","102.370,75","69.226,70","117.756,19",Produção,Não,Não,Não,Não
Getúlio Vargas,17.647,"0,7627","793.660,60","74.511,03","130.785,62","170.450,83","417.913,12","49.118,74",Norte,Não,Não,Sim,Não
Giruá,16.249,"0,7907","1.202.940,67","90.727,86","118.633,15","541.032,34","452.547,31","76.479,16",Missões,Não,Não,Não,Não
Glorinha,8.047,"0,7497","461.885,08","46.473,48","231.698,75","33.555,14","150.157,71","55.622,00",Metropolitano Delta do Jacuí,Não,Não,Não,Não
Gramado,39.621,"0,8244","2.658.017,54","340.701,03","344.063,33","24.733,46","1.948.519,71","72.103,34",Hortênsias,Não,Não,Não,Não
Gramado dos Loureiros,2.541,"0,7404","94.578,85","3.042,04","3.811,41","57.394,67","30.330,73","46.453,26",Médio Alto Uruguai,Não,Não,Sim,Não
Gramado Xavier,3.941,"0,7420","109.481,22","2.597,97","3.572,74","57.594,93","45.715,58","25.007,13",Alto da Serra do Botucaraí,Não,Não,Não,Não
Gravataí,277.949,"0,7084","10.261.618,29","1.655.745,15","3.311.020,47","25.205,47","5.269.647,20","35.934,57",Metropolitano Delta do Jacuí,Não,Não,Não,Não
Guabiju,1.568,"0,8614","132.787,21","5.345,34","4.016,26","87.150,31","36.275,30","89.842,50",Serra,Não,Não,Não,Não
Guaíba,99.202,"0,7617","8.284.804,00","3.035.221,60","1.766.358,07","68.926,71","3.414.297,61","84.254,24",Metropolitano Delta do Jacuí,Não,Não,Não,Não
Guaporé,27.455,"0,7775","1.149.050,18","118.494,53","361.090,68","106.749,85","562.715,12","43.858,55",Serra,Não,Não,Não,Não
Guarani das Missões,7.932,"0,7115","362.623,19","32.485,21","24.642,61","134.876,97","170.618,40","49.049,53",Missões,Não,Não,Sim,Não
Harmonia,5.292,"0,8085","245.496,12","34.489,49","62.569,87","35.724,43","112.712,33","49.425,43",Vale do Caí,Não,Não,Não,Não
Herval,6.625,"0,7124","253.605,69","6.752,47","6.998,77","148.384,82","91.469,62","37.256,60",Sul,Não,Sim,Não,Não
Herveiras,2.969,"0,6600","71.142,05","2.241,32","1.842,08","31.312,04","35.746,61","23.564,77",Vale do Rio Pardo,Não,Não,Não,Não
Horizontina,20.253,"0,8200","2.608.192,46","616.217,90","1.183.861,83","133.348,42","674.764,30","134.124,88",Fronteira Noroeste,Não,Não,Não,Não
Hulha Negra,5.857,"0,7353","314.486,39","31.038,40","65.217,21","113.251,99","104.978,78","45.617,40",Campanha,Não,Não,Não,Não
Humaitá,5.025,"0,7817","229.247,93","22.789,46","9.764,98","91.922,80","104.770,69","48.651,94",Celeiro,Não,Não,Não,Não
Ibarama,4.132,"0,7121","112.226,03","6.042,02","9.246,23","46.538,94","50.398,85","25.546,56",Vale do Rio Pardo,Não,Não,Não,Não
Ibiaçá,4.931,"0,8046","367.293,66","20.277,87","22.580,18","203.366,95","121.068,66","78.314,21",Nordeste,Não,Não,Não,Não
Ibiraiaras,8.104,"0,7834","399.690,90","48.934,89","13.933,47","170.383,34","166.439,19","55.000,81",Nordeste,Não,Não,Não,Não
Ibirapuitã,3.974,"0,7624","213.521,27","9.385,89","5.443,26","128.142,05","70.550,06","53.540,94",Alto da Serra do Botucaraí,Não,Não,Não,Não
Ibirubá,22.457,"0,8171","1.722.052,56","227.405,10","350.982,40","453.393,30","690.271,76","84.109,24",Alto Jacuí,Não,Não,Não,Não
Igrejinha,36.922,"0,7389","1.888.880,48","248.159,04","811.506,35","6.833,16","822.381,93","50.031,27",Paranhana Encosta da Serra,Não,Não,Não,Não
Ijuí,89.067,"0,8205","5.190.378,28","632.788,04","1.147.433,36","461.042,54","2.949.114,34","61.760,07",Noroeste Colonial,Não,Não,Não,Não
Ilópolis,4.168,"0,7613","140.569,14","10.682,77","16.023,03","47.223,95","66.639,40","34.674,18",Vale do Taquari,Não,Não,Não,Não
Imbé,25.056,"0,6636","626.813,61","47.762,29","55.540,65","2.209,68","521.300,99","26.424,42",Litoral,Não,Não,Não,Sim
Imigrante,3.490,"0,8517","519.188,61","63.541,47","321.418,60","37.061,45","97.167,09","167.318,28",Vale do Taquari,Não,Não,Não,Não
Independência,6.665,"0,7948","494.163,88","71.224,66","52.109,74","204.430,90","166.398,60","81.626,01",Fronteira Noroeste,Não,Não,Não,Não
Inhacorá,2.294,"0,7294","110.555,74","4.545,39","3.601,77","63.724,31","38.684,28","50.093,22",Celeiro,Não,Não,Não,Não
Ipê,6.025,"0,8234","298.581,35","16.171,14","23.864,87","157.806,47","100.738,87","44.326,21",Campos de Cima da Serra,Não,Não,Não,Não
Ipiranga do Sul,1.996,"0,8756","177.628,00","7.609,53","7.494,31","105.824,95","56.699,21","94.937,47",Norte,Não,Não,Não,Não
Iraí,8.036,"0,7365","254.490,75","23.498,63","18.099,63","77.563,94","135.328,55","36.118,47",Médio Alto Uruguai,Não,Não,Não,Não
Itaara,5.549,"0,7971","286.657,74","15.716,45","22.621,32","26.282,23","222.037,75","51.436,88",Central,Não,Não,Não,Não
Itacurubi,3.224,"0,7665","246.285,31","4.189,55","5.758,45","180.540,75","55.796,56","71.263,11",Fronteira Oeste,Não,Não,Não,Não
Itapuca,2.219,"0,7667","94.233,80","1.602,04","3.105,33","62.473,25","27.053,18","46.261,07",Alto da Serra do Botucaraí,Não,Não,Não,Não
Itaqui,36.263,"0,7415","2.186.920,74","188.263,69","294.872,82","915.962,33","787.821,91","58.531,72",Fronteira Oeste,Sim,Não,Não,Não
Itati,2.840,"0,7083","86.737,59","3.327,05","3.416,93","42.313,99","37.679,63","36.490,36",Litoral,Não,Não,Não,Não
Itatiba do Sul,3.518,"0,7555","81.706,28","3.034,61","3.600,27","36.840,59","38.230,80","25.996,27",Norte,Não,Não,Não,Não
Ivorá,2.079,"0,7697","71.910,43","1.734,42","2.311,45","41.547,59","26.316,97","38.786,64",Central,Não,Não,Não,Não
Ivoti,23.925,"0,8146","1.180.382,67","188.105,98","301.034,31","12.454,11","678.788,27","47.087,23",Vale do Rio dos Sinos,Não,Não,Não,Não
Jaboticaba,4.072,"0,6809","136.728,69","6.083,17","4.740,61","63.649,14","62.255,77","36.578,03",Rio da Várzea,Não,Não,Sim,Não
Jacuizinho,2.616,"0,7762","224.025,84","4.535,33","5.453,66","164.172,70","49.864,15","82.423,05",Alto da Serra do Botucaraí,Não,Não,Não,Não
Jacutinga,3.807,"0,7885","232.299,67","16.295,03","14.831,42","114.478,11","86.695,12","65.770,01",Norte,Não,Não,Não,Não
Jaguarão,27.574,"0,7134","1.059.391,87","62.512,52","42.337,72","475.652,12","478.889,50","40.239,75",Sul,Não,Sim,Não,Não
Jaguari,10.461,"0,7585","378.017,97","25.805,21","27.616,08","124.482,76","200.113,91","35.381,69",Vale do Jaguari,Não,Não,Não,Não
Jaquirana,4.114,"0,6085","94.040,73","5.447,06","6.380,27","36.156,90","46.056,49","26.042,85",Hortênsias,Não,Não,Não,Não
Jari,3.510,"0,7768","469.004,75","6.703,05","11.495,65","377.841,11","72.964,94","135.082,01",Central,Não,Não,Não,Não
Jóia,7.788,"0,7854","975.407,12","30.177,08","23.079,74","709.902,45","212.247,86","113.803,19",Noroeste Colonial,Não,Não,Não,Não
Júlio de Castilhos,18.892,"0,8150","1.925.170,68","234.601,01","55.762,10","741.244,69","893.562,88","100.483,88",Central,Não,Não,Não,Não
Lagoa Bonita do Sul,2.610,"0,7101","68.914,59","2.384,56","2.738,72","32.861,49","30.929,83","23.448,31",Vale do Rio Pardo,Não,Não,Não,Não
Lagoa dos Três Cantos,1.986,"0,8343","157.139,12","7.111,82","4.454,12","97.987,41","47.585,78","97.967,03",Alto Jacuí,Não,Não,Não,Não
Lagoão,5.746,"0,7005","154.689,10","4.431,62","3.920,84","84.629,81","61.706,84","23.912,37",Alto da Serra do Botucaraí,Não,Não,Não,Não
Lagoa Vermelha,27.970,"0,7582","1.513.399,78","145.083,13","272.241,05","402.252,72","693.822,88","54.534,96",Nordeste,Não,Não,Não,Não
Lajeado,94.929,"0,8023","5.596.168,71","959.740,59","1.374.061,03","25.702,34","3.236.664,75","65.067,95",Vale do Taquari,Não,Não,Não,Não
Lajeado do Bugre,2.649,"0,6700","74.874,08","2.621,05","5.288,13","35.159,31","31.805,59","29.145,22",Rio da Várzea,Não,Não,Não,Não
Lavras do Sul,7.204,"0,7372","497.625,89","16.228,54","12.786,13","319.049,34","149.561,88","67.155,99",Campanha,Não,Não,Não,Não
Liberato Salzano,5.491,"0,7604","172.442,45","8.893,43","7.006,69","88.837,88","67.704,45","33.898,65",Rio da Várzea,Não,Não,Não,Não
Lindolfo Collor,6.301,"0,7561","365.848,15","35.740,95","220.582,19","7.993,37","101.531,64","59.074,46",Paranhana Encosta da Serra,Não,Não,Não,Não
Linha Nova,1.784,"0,7835","65.578,71","1.736,94","3.032,21","38.086,14","22.723,43","38.038,69",Vale do Caí,Não,Não,Não,Não
Maçambará,4.599,"0,8114","582.040,57","13.937,58","16.905,20","445.452,27","105.745,52","128.231,01",Fronteira Oeste,Não,Não,Não,Não
Machadinho,5.799,"0,7632","272.822,51","16.993,01","12.847,67","123.140,74","119.841,07","50.419,98",Nordeste,Não,Não,Não,Não
Mampituba,3.332,"0,6892","70.213,15","2.179,67","4.263,37","28.644,33","35.125,78","23.680,66",Litoral,Não,Não,Não,Não
Manoel Viana,6.637,"0,7637","546.970,21","16.344,08","17.094,90","369.993,51","143.537,72","74.773,78",Fronteira Oeste,Não,Não,Não,Não
Maquiné,7.014,"0,7064","190.482,72","13.735,30","34.597,98","36.971,78","105.177,65","28.232,21",Litoral,Não,Não,Não,Não
Maratá,2.748,"0,7531","80.816,30","3.456,28","4.254,35","34.015,82","39.089,85","29.788,54",Vale do Caí,Não,Não,Não,Não
Marau,44.785,"0,8136","3.060.013,06","424.124,54","982.152,26","398.072,29","1.255.663,96","67.219,06",Produção,Não,Não,Não,Não
Marcelino Ramos,4.718,"0,7757","167.823,63","10.801,75","16.950,44","55.057,73","85.013,70","39.590,38",Norte,Não,Não,Sim,Não
Mariana Pimentel,4.076,"0,7045","104.494,88","5.201,82","2.700,71","47.538,00","49.054,36","26.848,63",Centro-Sul,Não,Não,Não,Não
Mariano Moro,2.098,"0,7788","72.887,02","3.373,75","4.087,30","33.820,34","31.605,64","36.681,94",Norte,Não,Não,Não,Não
Marques de Souza,4.290,"0,7239","124.134,27","10.293,33","9.400,26","44.743,46","59.697,21","31.181,68",Vale do Taquari,Não,Não,Não,Não
Mata,4.695,"0,7288","169.005,28","13.416,62","14.224,42","62.877,03","78.487,20","35.505,31",Vale do Jaguari,Não,Não,Não,Não
Mato Castelhano,2.643,"0,7969","168.253,69","10.180,41","4.276,99","92.071,21","61.725,08","66.163,47",Produção,Não,Não,Não,Não
Mato Leitão,4.895,"0,7567","180.535,47","16.646,58","46.484,38","38.710,18","78.694,33","39.017,82",Vale do Rio Pardo,Não,Não,Não,Não
Mato Queimado,1.881,"0,7398","88.445,55","2.165,17","2.399,37","56.532,79","27.348,22","54.901,02",Missões,Não,Não,Não,Não
Maximiliano de Almeida,4.629,"0,7447","161.122,19","8.471,16","14.017,67","67.399,66","71.233,70","37.875,46",Nordeste,Não,Não,Não,Não
Minas do Leão,7.960,"0,6733","279.175,51","36.210,62","12.177,76","99.414,49","131.372,64","34.338,93",Centro-Sul,Não,Não,Não,Não
Miraguaí,5.448,"0,7742","190.385,06","17.930,75","33.760,50","61.065,21","77.628,60","38.862,02",Celeiro,Não,Não,Não,Não
Montauri,1.617,"0,8043","98.137,05","9.248,13","7.553,47","53.647,74","27.687,72","68.627,31",Serra,Não,Não,Não,Não
Monte Alegre dos Campos,3.217,"0,6744","109.728,63","2.577,83","3.321,20","60.995,55","42.834,04","33.898,25",Campos de Cima da Serra,Não,Não,Não,Não
Monte Belo do Sul,2.967,"0,7664","94.434,13","8.652,64","18.665,43","30.045,35","37.070,71","37.563,30",Serra,Não,Não,Não,Não
Montenegro,67.857,"0,7881","5.752.330,07","1.136.443,73","2.376.130,74","130.558,42","2.109.197,18","86.949,68",Vale do Caí,Não,Não,Não,Não
Mormaço,2.954,"0,7887","153.332,85","11.933,16","4.159,60","69.722,95","67.517,15","48.847,68",Alto da Serra do Botucaraí,Não,Não,Não,Não
Morrinhos do Sul,3.409,"0,7410","81.464,67","3.810,11","3.620,29","33.149,28","40.884,99","28.178,72",Litoral,Não,Não,Não,Não
Morro Redondo,6.519,"0,6977","132.443,07","12.682,03","14.466,20","26.385,96","78.908,87","20.039,80",Sul,Não,Não,Não,Não
Morro Reuter,6.634,"0,7953","274.165,95","27.271,56","88.453,18","46.513,43","111.927,79","41.729,98",Paranhana Encosta da Serra,Não,Não,Não,Não
Mostardas,12.582,"0,7583","643.322,77","29.339,58","38.139,78","348.815,08","227.028,32","49.916,42",Litoral,Não,Não,Não,Sim
Muçum,5.174,"0,7797","301.850,72","26.389,03","134.583,80","30.773,27","110.104,61","60.771,23",Vale do Taquari,Não,Não,Não,Não
Muitos Capões,3.002,"0,8155","1.122.083,98","66.008,56","180.344,02","677.494,17","198.237,23","352.413,31",Campos de Cima da Serra,Não,Não,Não,Não
Muliterno,1.992,"0,8151","91.987,54","2.139,51","2.700,15","58.336,64","28.811,25","48.389,03",Produção,Não,Não,Não,Não
Não-Me-Toque,18.866,"0,8305","2.207.530,55","349.118,49","907.580,46","214.105,47","736.726,13","123.422,26",Alto Jacuí,Não,Não,Não,Não
Nicolau Vergueiro,1.981,"0,7795","146.250,92","9.024,07","3.286,33","83.655,09","50.285,43","87.733,01",Alto da Serra do Botucaraí,Não,Não,Não,Não
Nonoai,12.747,"0,7209","525.504,10","62.385,54","31.826,06","129.571,12","301.721,38","45.403,84",Médio Alto Uruguai,Não,Não,Não,Não
Nova Alvorada,3.509,"0,8258","236.574,18","38.194,98","12.325,50","84.527,43","101.526,27","63.973,55",Produção,Não,Não,Não,Não
Nova Araçá,5.595,"0,8122","327.225,30","46.283,21","107.502,88","62.893,97","110.545,25","66.917,24",Serra,Não,Não,Não,Não
Nova Bassano,9.296,"0,8308","802.205,60","63.256,65","400.423,98","135.479,76","203.045,21","79.512,90",Serra,Não,Não,Não,Não
Nova Boa Vista,2.115,"0,8589","145.342,09","15.102,27","27.608,25","55.103,24","47.528,34","83.964,24",Rio da Várzea,Não,Não,Não,Não
Nova Bréscia,3.234,"0,8309","141.143,04","10.061,53","16.170,93","60.100,35","54.810,24","42.195,23",Vale do Taquari,Não,Não,Não,Não
Nova Candelária,3.140,"0,8288","229.430,43","24.906,27","58.652,04","87.287,24","58.584,88","85.704,31",Fronteira Noroeste,Não,Não,Não,Não
Nova Esperança do Sul,5.057,"0,7702","172.364,61","14.886,09","35.829,67","39.991,07","81.657,78","31.539,73",Vale do Jaguari,Não,Não,Não,Não
Nova Hartz,20.899,"0,6941","805.694,10","71.726,16","416.574,88","3.903,38","313.489,68","36.379,38",Vale do Rio dos Sinos,Não,Não,Não,Não
Nova Pádua,2.657,"0,7943","100.210,68","9.696,04","13.694,31","37.256,65","39.563,68","39.098,98",Serra,Não,Não,Não,Não
Nova Palma,6.043,"0,8102","382.687,15","28.621,24","87.138,87","105.604,62","161.322,42","58.703,35",Central,Não,Não,Não,Não
Nova Petrópolis,23.343,"0,7998","972.683,86","163.577,06","200.432,23","57.426,46","551.248,11","44.789,05",Hortênsias,Não,Não,Não,Não
Nova Prata,27.266,"0,8010","1.730.036,79","271.197,35","597.217,23","94.572,01","767.050,21","61.740,72",Serra,Não,Não,Não,Não
Nova Ramada,2.398,"0,8709","304.677,07","24.013,81","34.708,34","160.982,26","84.972,65","138.805,04",Noroeste Colonial,Não,Não,Não,Não
Nova Roma do Sul,3.914,"0,8042","169.303,86","17.695,19","40.090,70","45.505,91","66.012,06","45.232,13",Serra,Não,Não,Não,Não
Nova Santa Rita,29.181,"0,7602","2.487.514,53","763.678,42","615.230,34","40.367,79","1.068.237,99","81.606,01",Vale do Rio dos Sinos,Não,Não,Não,Não
Novo Barreiro,4.288,"0,7757","135.198,83","7.361,90","8.134,99","56.439,44","63.262,50","32.305,57",Rio da Várzea,Não,Não,Não,Não
Novo Cabrais,3.990,"0,7232","133.170,43","4.852,01","6.485,29","68.698,32","53.134,81","31.363,74",Jacuí Centro,Não,Não,Não,Não
Novo Hamburgo,254.190,"0,7389","10.037.888,75","1.358.672,22","2.274.985,38","28.060,00","6.376.171,15","40.589,43",Vale do Rio dos Sinos,Não,Não,Sim,Não
Novo Machado,3.583,"0,7698","186.353,33","8.138,48","4.555,83","111.828,67","61.830,35","58.399,67",Fronteira Noroeste,Sim,Não,Sim,Não
Novo Tiradentes,2.433,"0,6948","74.727,83","2.854,28","1.546,37","39.000,82","31.326,36","34.137,89",Médio Alto Uruguai,Não,Não,Sim,Não
Novo Xingu,1.909,"0,7887","75.032,77","2.778,49","2.605,97","39.697,11","29.951,21","44.007,49",Rio da Várzea,Não,Não,Não,Não
Osório,47.141,"0,7497","1.819.024,12","171.263,72","252.177,89","62.368,93","1.333.213,57","38.855,58",Litoral,Não,Não,Não,Não
Paim Filho,3.939,"0,7710","167.644,44","11.217,15","9.641,28","76.430,43","70.355,58","44.932,84",Nordeste,Não,Não,Não,Não
Palmares do Sul,12.339,"0,7466","735.603,36","42.836,81","266.750,27","171.623,37","254.392,91","64.856,58",Litoral,Não,Não,Não,Não
Palmeira das Missões,35.311,"0,7660","2.215.049,62","176.138,36","82.279,87","980.810,40","975.821,00","67.189,91",Rio da Várzea,Não,Não,Não,Não
Palmitinho,7.587,"0,7470","271.640,64","17.198,55","42.591,81","82.355,81","129.494,47","38.497,82",Médio Alto Uruguai,Não,Não,Não,Não
Panambi,44.664,"0,7982","3.167.743,30","382.557,19","1.330.220,43","263.177,14","1.191.788,54","71.052,72",Noroeste Colonial,Não,Não,Não,Não
Pantano Grande,9.997,"0,7148","533.686,93","41.749,07","103.903,29","180.370,31","207.664,26","59.331,51",Vale do Rio Pardo,Não,Não,Não,Não
Paraí,7.659,"0,8363","424.445,30","64.156,19","112.017,88","82.993,19","165.278,04","54.464,94",Serra,Não,Não,Não,Não
Paraíso do Sul,7.538,"0,6960","207.384,40","11.732,43","6.396,47","87.614,91","101.640,59","27.162,33",Jacuí Centro,Não,Não,Não,Não
Pareci Novo,4.588,"0,7625","136.433,59","15.288,00","9.818,55","37.733,31","73.593,74","35.118,04",Vale do Caí,Não,Não,Não,Não
Parobé,57.289,"0,6636","1.390.312,15","126.121,20","383.041,64","6.234,42","874.914,90","23.398,44",Paranhana Encosta da Serra,Não,Não,Não,Não
Passa Sete,4.653,"0,6949","132.982,23","4.418,59","3.655,95","70.065,79","54.841,90","22.967,57",Vale do Rio Pardo,Não,Não,Não,Não
Passo do Sobrado,6.591,"0,7138","229.639,68","18.539,09","26.114,53","97.046,05","87.940,01","34.730,74",Vale do Rio Pardo,Não,Não,Não,Não
Passo Fundo,210.339,"0,7743","12.552.832,56","1.973.424,11","1.433.974,49","329.161,06","8.816.272,90","60.905,63",Produção,Não,Não,Sim,Não
Paulo Bento,2.245,"0,8181","195.869,13","18.148,95","61.249,05","66.392,95","50.078,18","85.049,56",Norte,Não,Não,Não,Não
Paverama,9.303,"0,7013","242.456,43","20.932,37","57.712,66","63.292,83","100.518,56","28.387,36",Vale do Taquari,Não,Não,Não,Não
Pedras Altas,1.964,"0,8345","386.188,86","6.997,43","9.382,24","306.315,45","63.493,74","200.305,43",Sul,Não,Sim,Não,Não
Pedro Osório,7.920,"0,6587","270.649,98","10.287,59","12.283,06","139.066,54","109.012,79","35.227,12",Sul,Não,Não,Não,Não
Pejuçara,4.093,"0,8397","464.210,85","18.798,84","13.123,61","304.801,82","127.486,57","120.888,24",Noroeste Colonial,Não,Não,Não,Não
Pelotas,342.221,"0,7173","10.778.119,16","1.211.627,43","1.319.876,28","434.023,91","7.812.591,54","31.347,60",Sul,Não,Não,Não,Não
Picada Café,5.882,"0,8296","386.451,12","59.409,59","184.984,06","16.996,52","125.060,95","66.860,05",Hortênsias,Não,Não,Não,Não
Pinhal,2.940,"0,7823","123.340,67","8.454,58","15.904,89","54.474,96","44.506,24","47.787,94",Médio Alto Uruguai,Não,Não,Não,Não
Pinhal da Serra,2.161,"0,7503","304.723,18","24.417,95","147.783,73","84.947,00","47.574,49","160.718,98",Campos de Cima da Serra,Não,Não,Não,Não
Pinhal Grande,3.906,"0,8037","931.832,26","14.906,28","654.427,38","164.251,03","98.247,58","216.252,56",Central,Não,Não,Não,Não
Pinheirinho do Vale,4.860,"0,7294","131.547,33","4.201,19","7.035,37","65.037,26","55.273,50","26.704,69",Médio Alto Uruguai,Não,Não,Não,Não
Pinheiro Machado,11.380,"0,6664","397.723,01","25.945,86","76.850,20","111.162,40","183.764,56","32.810,02",Sul,Não,Não,Não,Não
Pinto Bandeira,3.275,"0,6920","74.284,74","8.968,24","7.830,62","21.670,51","35.815,36","24.212,76",Serra,Não,Não,Não,Não
Pirapó,2.504,"0,7382","94.670,49","2.659,25","1.949,05","54.200,59","35.861,59","42.934,46",Missões,Sim,Não,Sim,Não
Piratini,18.290,"0,7323","880.272,81","32.280,15","47.488,38","518.081,08","282.423,20","42.437,10",Sul,Não,Não,Não,Não
Planalto,10.608,"0,7292","252.506,10","20.043,30","32.544,65","50.623,97","149.294,17","25.359,66",Médio Alto Uruguai,Não,Não,Não,Não
Poço das Antas,2.313,"0,8091","131.756,23","14.350,07","42.235,89","30.988,99","44.181,28","62.592,03",Vale do Taquari,Não,Não,Não,Não
Pontão,3.779,"0,8358","403.315,68","12.808,60","11.536,52","284.899,00","94.071,56","103.467,34",Produção,Não,Não,Não,Não
Ponte Preta,1.806,"0,7812","96.048,01","4.812,82","3.403,21","58.572,27","29.259,71","63.989,35",Norte,Não,Não,Não,Não
Portão,36.535,"0,7288","1.662.397,79","269.972,78","596.853,67","54.303,80","741.267,53","43.654,26",Vale do Rio dos Sinos,Não,Não,Não,Não
Porto Alegre,1.444.714,"0,8082","81.562.848,10","12.161.025,98","6.584.090,97","36.859,95","62.780.871,19","54.647,38",Metropolitano Delta do Jacuí,Não,Não,Não,Não
Porto Lucena,5.001,"0,7202","135.660,92","5.530,34","3.437,39","58.768,26","67.924,93","30.053,37",Fronteira Noroeste,Sim,Não,Sim,Não
Porto Mauá,2.487,"0,7427","89.349,23","4.662,97","1.949,53","44.033,92","38.702,81","38.314,42",Fronteira Noroeste,Sim,Não,Sim,Não
Porto Vera Cruz,1.608,"0,7392","45.211,36","1.350,47","894,68","22.095,44","20.870,77","35.939,08",Fronteira Noroeste,Sim,Não,Sim,Não
Porto Xavier,10.539,"0,6951","210.925,05","16.850,28","9.214,34","37.564,76","147.295,67","20.793,08",Missões,Sim,Não,Sim,Não
Pouso Novo,1.789,"0,7743","61.419,42","2.890,14","2.617,37","25.752,72","30.159,18","38.725,99",Vale do Taquari,Não,Não,Não,Não
Presidente Lucena,3.144,"0,8079","213.812,17","27.510,93","106.418,02","16.630,24","63.252,99","71.942,18",Paranhana Encosta da Serra,Não,Não,Não,Não
Progresso,5.808,"0,7272","166.516,17","6.751,02","9.272,44","72.787,77","77.704,94","26.706,68",Vale do Taquari,Não,Não,Não,Não
Protásio Alves,2.082,"0,8164","93.262,55","4.421,28","8.701,95","51.781,44","28.357,88","48.347,62",Serra,Não,Não,Não,Não
Putinga,4.028,"0,7778","133.441,73","7.232,48","11.236,34","61.639,01","53.333,90","34.561,44",Vale do Taquari,Não,Não,Não,Não
Quaraí,22.967,"0,6900","625.748,73","40.859,22","25.407,96","201.581,04","357.900,50","27.772,79",Fronteira Oeste,Não,Sim,Não,Não
Quatro Irmãos,1.667,"0,8129","185.962,12","6.741,64","8.271,85","122.341,76","48.606,87","99.979,63",Norte,Não,Não,Não,Não
Quevedos,2.721,"0,8005","299.302,40","15.579,81","6.705,88","198.235,21","78.781,50","107.161,62",Central,Não,Não,Não,Não
Quinze de Novembro,4.301,"0,7866","255.119,71","12.985,99","15.232,65","142.175,88","84.725,19","66.960,55",Alto Jacuí,Não,Não,Não,Não
Redentora,11.129,"0,6235","232.902,58","10.760,70","6.118,80","103.316,71","112.706,37","19.767,66",Celeiro,Não,Não,Não,Não
Relvado,2.234,"0,7690","82.686,59","2.844,27","3.139,55","48.501,22","28.201,55","39.983,85",Vale do Taquari,Não,Não,Não,Não
Restinga Sêca,15.571,"0,7186","673.419,74","44.226,40","53.165,83","277.829,65","298.197,85","42.887,51",,Não,Não,Não,Não
Rio dos Índios,3.146,"0,7485","136.484,32","6.881,81","3.846,70","75.282,27","50.473,54","53.086,08",Médio Alto Uruguai,Não,Não,Não,Não
Rio Grande,208.227,"0,7446","13.282.153,80","2.228.561,94","4.237.227,44","440.805,76","6.375.558,66","62.392,39",Sul,Não,Não,Não,Sim
Rio Pardo,38.075,"0,7049","1.390.517,66","84.378,46","106.575,97","571.616,89","627.946,34","36.346,75",Vale do Rio Pardo,Não,Não,Não,Não
Riozinho,4.421,"0,6909","155.848,08","16.605,74","64.500,39","7.065,51","67.676,43","33.173,28",Paranhana Encosta da Serra,Não,Não,Não,Não
Roca Sales,12.758,"0,7612","576.081,08","46.874,54","257.696,99","78.995,56","192.514,00","49.851,25",Vale do Taquari,Não,Não,Não,Não
Rodeio Bonito,6.790,"0,7470","279.277,84","50.726,04","21.890,84","79.225,34","127.435,63","47.593,36",Médio Alto Uruguai,Não,Não,Não,Não
Rolador,2.551,"0,7893","161.912,41","4.529,00","3.582,48","109.714,25","44.086,68","71.327,05",Missões,Não,Não,Não,Não
Rolante,22.108,"0,7556","731.606,97","92.809,91","223.350,00","27.746,59","387.700,47","33.884,81",Paranhana Encosta da Serra,Não,Não,Não,Não
Ronda Alta,10.358,"0,7638","471.551,84","31.150,45","17.612,51","201.776,91","221.011,97","44.347,96",Rio da Várzea,Não,Não,Não,Não
Rondinha,5.559,"0,8408","268.872,86","14.833,52","7.479,35","139.558,03","107.001,96","53.421,99",Rio da Várzea,Não,Não,Não,Não
Roque Gonzales,6.875,"0,7591","437.024,80","13.593,70","210.361,26","105.670,67","107.399,17","64.744,41",Missões,Sim,Não,Sim,Não
Rosário do Sul,38.837,"0,7036","1.381.969,37","100.549,98","60.427,01","507.511,85","713.480,52","35.245,33",Fronteira Oeste,Não,Não,Não,Não
Sagrada Família,2.649,"0,7594","82.615,12","3.627,79","2.647,44","38.775,75","37.564,14","31.762,83",Rio da Várzea,Não,Não,Não,Não
Saldanha Marinho,2.922,"0,8099","254.247,44","15.471,25","5.557,82","145.083,81","88.134,55","97.938,15",Alto Jacuí,Não,Não,Sim,Não
